Country,Code,Year,Energy use per capita (GJ),Life expectancy,Population,Continent
Algeria,DZA,2019,58.10470664,76.88,"42,706,000",Africa
Angola,AGO,2019,12.34653398,61.147,"32,354,000",Africa
Benin,BEN,2019,8.938391309,61.771,"12,291,000",Africa
Bhutan,BTN,2019,105.6170742,71.777,"768,000",Africa
Botswana,BWA,2019,35.97236367,69.592,"2,500,000",Africa
Burkina Faso,BFA,2019,3.4081073,61.577,"20,952,000",Africa
Burundi,BDI,2019,1.147495496,61.584,"11,875,000",Africa
Cameroon,CMR,2019,6.53050415,59.292,"25,783,000",Africa
Cape Verde,CPV,2019,27.99445605,72.981,"578,000",Africa
Central African Republic,CAF,2019,1.182366431,53.283,"5,210,000",Africa
Chad,TCD,2019,1.662175525,54.239,"16,127,000",Africa
Comoros,COM,2019,5.641428516,64.321,"791,000",Africa
Congo,COG,2019,17.04557461,64.57,"5,571,000",Africa
Cote d'Ivoire,CIV,2019,8.678188477,57.783,"26,148,000",Africa
Democratic Republic of Congo,COD,2019,1.447423242,60.681,"89,907,000",Africa
Djibouti,DJI,2019,9.353962793,67.112,"1,074,000",Africa
Egypt,EGY,2019,37.57100273,71.99,"105,619,000",Africa
Equatorial Guinea,GNQ,2019,60.76763438,58.735,"1,554,000",Africa
Eritrea,ERI,2019,3.402508447,66.321,"3,499,000",Africa
Eswatini,SWZ,2019,20.44222734,60.194,"1,170,000",Africa
Ethiopia,ETH,2019,3.397064282,66.597,"114,121,000",Africa
Gabon,GAB,2019,28.25487598,66.467,"2,243,000",Africa
Gambia,GMB,2019,3.742012793,62.05,"2,509,000",Africa
Ghana,GHA,2019,11.85963311,64.074,"31,523,000",Africa
Guinea-Bissau,GNB,2019,2.596541968,58.322,"1,971,000",Africa
Kenya,KEN,2019,6.657011279,66.699,"50,952,000",Africa
Lesotho,LSO,2019,8.253631934,54.331,"2,226,000",Africa
Liberia,LBR,2019,4.001451416,64.104,"4,986,000",Africa
Libya,LBY,2019,93.11021016,72.913,"6,570,000",Africa
Madagascar,MDG,2019,2.435543701,67.041,"27,534,000",Africa
Malawi,MWI,2019,1.908430884,64.263,"18,868,000",Africa
Mali,MLI,2019,4.64082583,59.306,"20,568,000",Africa
Mauritania,MRT,2019,14.31483047,64.925,"4,384,000",Africa
Mauritius,MUS,2019,83.80050469,74.23585366,"1,297,000",Africa
Morocco,MAR,2019,26.00630332,76.68,"36,305,000",Africa
Mozambique,MOZ,2019,8.558992969,60.854,"30,286,000",Africa
Namibia,NAM,2019,31.45585781,63.708,"2,447,000",Africa
Niger,NER,2019,1.624409583,62.42,"23,444,000",Africa
